x olderr newerr delta newt oldt
-0.73 0.5046731049369718 0.29533981762070816 -0.20933328731626366 1.8590818969532847 1.8432887170929462
-0.72 0.4972414537108166 0.2880989214885479 -0.20914253222226875 1.860578662948683 1.893564468016848
-0.71 0.48967281125583184 0.2808280119473435 -0.20884479930848832 1.8334392050746828 1.842902403906919
-0.7 0.48196528111169734 0.27353317541095923 -0.2084321057007381 1.892202480114065 1.8455574559047818
-0.69 0.4741169358712657 0.26622064712295823 -0.20789628874830746 1.8918332440080121 1.8641169699840248
-0.68 0.46612586238821296 0.25889679749467986 -0.2072290648935331 1.9884747460018843 1.8411639850819483
-0.67 0.4579902134852174 0.25156811783692157 -0.20642209564829583 1.8309684429550543 1.8529083270113915
-0.66 0.4497082663615303 0.2442412054779045 -0.20546706088362576 1.8172832720447332 1.8780291749862954
-0.65 0.4412784881248121 0.23692274846162253 -0.20435573966318954 1.9372254379559308 1.7998752580024302
-0.64 0.43269960778591776 0.22961950975802914 -0.20308009802788862 1.8366269539110363 1.81302065809723
-0.63 0.42397069468004256 0.22233831098690338 -0.20163238369313918 1.8810856989584863 1.898655830998905
-0.62 0.41509124300716904 0.21508601601880495 -0.2000052269883641 1.8571077540982515 1.849289419944398
-0.61 0.4060612614023462 0.2078695140432405 -0.19819174735910572 1.818495577084832 1.8194771299604326
-0.6 0.3968813667527542 0.20069570257293312 -0.19618566417982108 1.8016999869141728 2.002041472005658
-0.59 0.38755288096260054 0.19357147019633347 -0.19398141076626707 1.9515174119733274 1.955954862991348
-0.58 0.37807792921187033 0.18650367925454558 -0.19157424995732475 1.8546519529772922 1.84780687908642
-0.57 0.36845953788842634 0.1794991484634757 -0.18896038942495064 1.8332240949384868 1.8145440929802135
-0.56 0.3587017297532037 0.1725646354147894 -0.1861370943384143 1.8041789979906753 1.80867500603199
-0.55 0.3488096148962774 0.16570681925973785 -0.18310279563653953 1.8252941520186141 1.8267070190049708
-0.54 0.3387894741323779 0.15893228341629684 -0.17985719071608108 1.8400905330199748 1.8935422169743106
-0.53 0.32864883268596384 0.15224749832968015 -0.1764013343562837 1.845683943014592 1.8476281539769843
-0.52 0.31839652156641 0.14565880456699049 -0.17273771699941953 1.850188356009312 1.8539954709121957
-0.51 0.30804272389258586 0.139172396013932 -0.16887032787865386 1.8731464860029519 1.8439479570370167
-0.5 0.2975990034653186 0.1327943032926771 -0.16480470017264148 1.8439197590341792 1.8556584200123325
-0.49 0.28707831431047987 0.12653037766547887 -0.160547936645001 1.8316330780507997 1.8347910000011325
-0.48 0.2764949881125001 0.12038627505071481 -0.1561087130617853 1.8233627290464938 1.8270942039089277
-0.47 0.2658646991613438 0.11436744053005032 -0.15149725863129349 1.828709328896366 1.879906294052489
-0.46 0.25520440557438084 0.10847909320685656 -0.14672531236752429 2.0306209760019556 2.1081770790042356
-0.45 0.24453226693868824 0.10272621158308881 -0.14180605535559943 1.9978300139773637 2.021959881996736
-0.44 0.23386753831508433 0.09711351917858135 -0.13675401913650298 1.982790871988982 2.024893564055674
-0.43 0.2232304427232416 0.09164547090372116 -0.13158497181952045 1.9055933569325134 1.8588861870812252
-0.42 0.21264202326660914 0.08632623977985299 -0.12631578348675615 1.8588710409821942 1.951407338026911
-0.41 0.20212397763452494 0.08115970422385721 -0.12096427341066773 1.8475559509824961 1.9412233250914142
-0.4 0.19169847878525925 0.07614943592846668 -0.11554904285679257 1.8255258729914203 1.8491373660508543
-0.39 0.1813879841804052 0.07129868830884778 -0.11008929587155741 1.8856575640384108 1.830015082960017
-0.38 0.1712150379489184 0.06661038563469612 -0.10460465231422228 1.8065684179309756 1.8027306160656735
