x yhat y
-9.50000000000000 -1.50053784520719 -1.46591938806466
-9.40000000000000 -1.49828603564392 -1.46481196880530
-9.30000000000000 -1.49600785684188 -1.46368100344266
-9.20000000000000 -1.49370371819112 -1.46252573593444
-9.10000000000000 -1.49137402260049 -1.46134537765353
-9.00000000000000 -1.48901916390073 -1.46013910562100
-8.90000000000000 -1.48663952400447 -1.45890606062322
-8.80000000000000 -1.48423546980476 -1.45764534520441
-8.70000000000000 -1.48180734979259 -1.45635602152483
-8.60000000000000 -1.47935549037240 -1.45503710907409
-8.50000000000000 -1.47688019185332 -1.45368758222803
-8.40000000000000 -1.47438172409226 -1.45230636763676
-8.30000000000000 -1.47186032176330 -1.45089234142987
-8.20000000000000 -1.46931617922629 -1.44944432622413
-8.10000000000000 -1.46674944496575 -1.44796108791700
-8.00000000000000 -1.46416021556908 -1.44644133224814
-7.90000000000000 -1.46154852921150 -1.44488370110910
-7.80000000000000 -1.45891435861248 -1.44328676857966
-7.70000000000000 -1.45625760342695 -1.44164903666688
-7.60000000000000 -1.45357808203154 -1.43996893072084
-7.50000000000000 -1.45087552266430 -1.43824479449822
-7.40000000000000 -1.44814955387334 -1.43647488484193
-7.30000000000000 -1.44539969422769 -1.43465736594176
-7.20000000000000 -1.44262534124047 -1.43279030313738
-7.10000000000000 -1.43982575945183 -1.43087165622078
-7.00000000000000 -1.43700006761626 -1.42889927219073
-6.90000000000000 -1.43414722493531 -1.42687087740668
-6.80000000000000 -1.43126601627404 -1.42478406908362
-6.70000000000000 -1.42835503629569 -1.42263630606307
-6.60000000000000 -1.42541267244564 -1.42042489878776
-6.50000000000000 -1.42243708671194 -1.41814699839963
-6.40000000000000 -1.41942619608563 -1.41579958487096
-6.30000000000000 -1.41637765163964 -1.41337945406831
-6.20000000000000 -1.41328881614063 -1.41088320363668
-6.10000000000000 -1.41015674010253 -1.40830721757769
-6.00000000000000 -1.40697813618526 -1.40564764938027
-5.90000000000000 -1.40374935183511 -1.40290040354452
-5.80000000000000 -1.40046634005606 -1.40006111531961
-5.70000000000000 -1.39712462819234 -1.39712512845332
-5.60000000000000 -1.39371928459203 -1.39408747072486
-5.50000000000000 -1.39024488300881 -1.39094282700242
-5.40000000000000 -1.38669546458383 -1.38768550953241
-5.30000000000000 -1.38306449723016 -1.38430942512768
-5.20000000000000 -1.37934483221928 -1.38080803887618
-5.10000000000000 -1.37552865773937 -1.37717433393895
-5.00000000000000 -1.37160744915864 -1.37340076694502
-4.90000000000000 -1.36757191568082 -1.36947921842026
-4.80000000000000 -1.36341194302235 -1.36540093760513
-4.70000000000000 -1.35911653166842 -1.36115648092068
-4.60000000000000 -1.35467373017440 -1.35673564323108
-4.50000000000000 -1.35007056286578 -1.35212738092095
-4.40000000000000 -1.34529295114877 -1.34731972565426
-4.30000000000000 -1.34032562746747 -1.34229968750303
-4.20000000000000 -1.33515204072595 -1.33705314592600
-4.10000000000000 -1.32975425172403 -1.33156472683124
-4.00000000000000 -1.32411281682419 -1.32581766366803
-3.90000000000000 -1.31820665766104 -1.31979364015186
-3.80000000000000 -1.31201291420877 -1.31347261182381
-3.70000000000000 -1.30550677792116 -1.30683260316919
-3.60000000000000 -1.29866130093189 -1.29984947645648
-3.50000000000000 -1.29144717643169 -1.29249666778979
-3.40000000000000 -1.28383248429957 -1.28474488507758
-3.30000000000000 -1.27578239483564 -1.27656176168371
-3.20000000000000 -1.26725882199970 -1.26791145841993
-3.10000000000000 -1.25822001588238 -1.25875420523236
-3.00000000000000 -1.24862008220787 -1.24904577239825
-2.90000000000000 -1.23840841448255 -1.23873685925201
-2.80000000000000 -1.22752902196897 -1.22777238637419
-2.70000000000000 -1.21591973401073 -1.21609067478396
-2.60000000000000 -1.20351125842602 -1.20362249297668
-2.50000000000000 -1.19022606884369 -1.19028994968253
-2.40000000000000 -1.17597709317325 -1.17600520709514
-2.30000000000000 -1.16066617319296 -1.16066898625341
-2.20000000000000 -1.14418226400212 -1.14416883366802
-2.10000000000000 -1.12639934258388 -1.12637711689380
